lib_name,lib_address,latitude,longitude,lib_name_survey,lib_address_survey,broadband,wifi,down_open,upload_open,down_midday,upload_midday,down_close,upload_close,avg_down_speed,avg_up_speed
Fox Lake Public Library District,"255 East Grand Avenue Fox Lake, IL 60020-1697",42.3936555,-88.1607753,,,,,,,,,,,,
Fox River Grove Memorial Library,"407 Lincoln Avenue Fox River Grove, IL 60021-1406",42.1975604,-88.2203236,Fox River Grove Public Library District,"407 Lincoln Ave, Fox River Grove, IL",Yes,Yes,58.0,12.0,58.0,11.0,60.0,11.0,58.666666666666664,11.333333333333334
Dundee Library,"555 Barrington Avenue East Dundee, IL 60118-1422",42.1042747,-88.2638406,Fox River Valley Public Library District,"555 Barrington Avenue, East Dundee, IL 60118",Yes,Yes,320.0,47.0,300.0,46.0,320.0,48.0,313.3333333333333,47.0
Randall Oaks Library,"500 North Randall Road West Dundee, IL 60118-9000",42.108996,-88.3350741,Fox River Valley Public Library district,"500 North Randall Road, West Dundee, IL 60118",Yes,Yes,35.0,24.0,35.0,25.0,35.0,24.0,35.0,24.333333333333332
Frank Bertetti Benld Public Library,"308 East Central Avenue Benld, IL 62009-1202",39.0928413,-89.8029679,,,,,,,,,,,,
Frankfort Public Library District,"21119 South Pfeiffer Road Frankfort, IL 60423-8699",41.50589490000001,-87.8280984,Frankfort Public Library District,"21119 S Pfeiffer Rd, Frankfort, IL 60423",Yes,Yes,285.0,28.0,290.0,28.0,276.0,29.0,283.6666666666667,28.333333333333332
Franklin Grove Public Library,"112 South Elm Street Franklin Grove, IL 61031-0326",41.8400154,-89.2990423,,,,,,,,,,,,
Franklin Park Public Library District,"10311 Grand Avenue Franklin Park, IL 60131-2225",41.9295787,-87.8828045,Franklin Park Public LIbrary District,"10311 Grand Avenue, Franklin Park, IL 60131",Yes,Yes,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Freeburg Area Library District,"407 South Belleville Street Freeburg, IL 62243-1595",38.42131639999999,-89.91039239999999,,,,,,,,,,,,
Freeport Public Library,"100 East Douglas Street Freeport, IL 61032-4116",42.300391,-89.6208241,,,,,,,,,,,,
Fremont Public Library District,"1170 North Midlothian Road Mundelein, IL 60060-1237",42.2821109,-88.0201948,,,,,,,,,,,,
